species,decimalLongitude,decimalLatitude
Gentianella campestris,14.80709,67.52929
Gentianella campestris,14.48634,67.236002
Gentianella campestris,15.60801,62.71647
Gentianella campestris,14.23182,63.53283
Gentianella campestris,14.87182,63.08523
Gentianella campestris,14.81809,63.33021
Gentianella campestris,14.4488,63.05472
Gentianella campestris,14.57164,63.03192
Gentianella campestris,14.52188,63.17208
Gentianella campestris,14.59951,63.3694
Gentianella campestris,14.41688,63.25386
Gentianella campestris,13.80208,63.56706
Gentianella campestris,13.9186,63.49352
Gentianella campestris,14.31727,63.28981
Gentianella campestris,13.98248,63.49619
Gentianella campestris,13.7788,63.56683
Gentianella campestris,15.08116,62.97566
Gentianella campestris,15.23367,63.49942
Gentianella campestris,14.32336,62.90825
Gentianella campestris,14.49942,62.96222
Gentianella campestris,17.93323,63.63653
Gentianella campestris,11.75089,57.64747
Gentianella campestris,11.656926,59.816658
Gentianella campestris,15.35303,57.05917
Gentianella campestris,17.80489,62.54085
Gentianella campestris,18.49103,59.63067
Gentianella campestris,18.13827,59.77582
Gentianella campestris,12.33059,58.76263
Gentianella campestris,15.83683,62.57054
Gentianella campestris,14.87095,59.93621
Gentianella campestris,18.74643,59.93786
Gentianella campestris,14.10593,58.41807
Gentianella campestris,15.06703,58.56598
Gentianella campestris,14.727,58.16365
Gentianella campestris,14.70469,58.11796
Gentianella campestris,17.01802,62.66001
Gentianella campestris,15.74754,60.14016
Gentianella campestris,15.95896,60.12972
Gentianella campestris,11.6145,57.76623
Gentianella campestris,13.52219,58.17248
Gentianella campestris,13.42539,58.59764
Gentianella campestris,15.67714,57.04027
Gentianella campestris,13.42795,58.57304
Gentianella campestris,12.61545,56.79116
Gentianella campestris,14.46494,57.78602
Gentianella campestris,15.5969,62.59134
Gentianella campestris,15.82277,62.42539
Gentianella campestris,15.47537,58.28631
Gentianella campestris,15.52724,62.80033
Gentianella campestris,15.84043,62.56275
Gentianella campestris,16.30878,62.29174
Gentianella campestris,15.95702,58.0543
Gentianella campestris,15.22142,58.10514
Gentianella campestris,15.65777,58.84419
Gentianella campestris,17.73509,60.10063
Gentianella campestris,14.37203,62.47886
Gentianella campestris,13.72704,57.8305
Gentianella campestris,15.42626,58.20111
Gentianella campestris,15.40269,58.8295
Gentianella campestris,16.07523,60.47412
Gentianella campestris,15.6523,59.59562
Gentianella campestris,15.098308,68.992519
Gentianella campestris,14.560209,67.171241
Gentianella campestris,14.479136,67.173095
Gentianella campestris,16.543293,68.718666
Gentianella campestris,14.611439,66.988492
Gentianella campestris,13.166275,68.099196
Gentianella campestris,13.932295,66.759955
Gentianella campestris,14.706921,67.200082
Gentianella campestris,16.17184,68.314698
Gentianella campestris,14.852745,66.775129
Gentianella campestris,13.681306,66.687934
Gentianella campestris,12.095339,65.39285
Gentianella campestris,13.64338,63.31922
Gentianella campestris,12.72631,60.56663
Gentianella campestris,16.863686,68.744284
Gentianella campestris,11.668307,59.974532
Gentianella campestris,15.8067,57.87731
Gentianella campestris,11.658,62.588
Gentianella campestris,11.4571,62.6753
Gentianella campestris,16.09997,61.11225
Gentianella campestris,16.51839,60.43133
Gentianella campestris,12.7081,56.44991
Gentianella campestris,11.4846,58.26265
