species,decimalLongitude,decimalLatitude
Gentianella campestris,14.64212,57.85638
Gentianella campestris,16.08455,57.49508
Gentianella campestris,15.21639,57.4509
Gentianella campestris,14.4084,57.49662
Gentianella campestris,15.41939,57.62858
Gentianella campestris,14.59954,57.87035
Gentianella campestris,14.38715,57.87175
Gentianella campestris,14.76787,57.5836
Gentianella campestris,15.56375,57.56788
Gentianella campestris,16.0688,57.62441
Gentianella campestris,14.73048,58.0565
Gentianella campestris,15.02339,57.59622
Gentianella campestris,14.58284,57.56758
Gentianella campestris,14.04438,57.85039
Gentianella campestris,15.33077,57.62199
Gentianella campestris,15.53702,57.33975
Gentianella campestris,16.23058,57.5041
Gentianella campestris,14.10233,57.83591
Gentianella campestris,16.33727,57.55712
Gentianella campestris,14.49174,57.82259
Gentianella campestris,14.46196,57.80881
Gentianella campestris,14.30273,57.79445
Gentianella campestris,14.506,57.7069
Gentianella campestris,14.47078,57.88882
Gentianella campestris,15.77077,57.75397
Gentianella campestris,16.37762,57.30597
Gentianella campestris,16.14435,57.82985
Gentianella campestris,15.98341,57.61648
Gentianella campestris,16.4933,58.12294
Gentianella campestris,15.93024,57.72608
Gentianella campestris,15.95872,57.71438
Gentianella campestris,16.1004,57.39178
Gentianella campestris,16.08371,57.38374
Gentianella campestris,14.53599,57.66499
Gentianella campestris,15.11831,57.70632
Gentianella campestris,14.79432,58.07498
Gentianella campestris,14.46448,57.78639
Gentianella campestris,14.51589,57.66479
Gentianella campestris,14.7182,57.62359
Gentianella campestris,14.62038,58.00524
Gentianella campestris,14.9878,57.84023
Gentianella campestris,15.45553,57.69962
Gentianella campestris,14.88473,57.78834
Gentianella campestris,15.62095,57.49255
Gentianella campestris,16.3022,57.80329
Gentianella campestris,14.72327,57.95857
Gentianella campestris,15.97483,57.5698
Gentianella campestris,16.30756,57.82571
Gentianella campestris,16.44278,58.14475
Gentianella campestris,14.29125,57.82754
Gentianella campestris,15.74183,57.02754
Gentianella campestris,16.10345,57.768
Gentianella campestris,14.3421,57.81915
Gentianella campestris,16.15731,57.77774
Gentianella campestris,14.61713,56.92312
Gentianella campestris,14.40212,57.22534
Gentianella campestris,14.36766,57.3875
Gentianella campestris,14.07849,57.55989
Gentianella campestris,14.37934,57.47205
Gentianella campestris,14.15198,56.96902
Gentianella campestris,15.80109,57.19996
Gentianella campestris,15.61418,57.19173
Gentianella campestris,14.52917,57.02239
Gentianella campestris,15.77318,56.9611
Gentianella campestris,13.82496,56.93373
Gentianella campestris,15.7466,57.13709
Gentianella campestris,14.86342,56.53366
Gentianella campestris,14.08294,57.67759
Gentianella campestris,15.08668,57.18533
